dataset_name,n_estimators_client,xgb_max_depth,subsample,learning_rate,colsample_bylevel,colsample_bynode,colsample_bytree,alpha,gamma,num_parallel_tree,min_child_weight,result
abalone,10000,3,0.4,0.05,0.5,1,1,5,10,1,5,2.6408407176015642,4.8044296643145215
abalone,100,3,0.4,0.05,0.5,1,1,5,10,1,5,4.425107656254521,4.541260723463972
abalone,50,3,0.4,0.05,0.5,1,1,5,10,1,5,5.034039732169705,5.127737142508459
abalone,200,3,0.4,0.05,0.5,1,1,5,10,1,5,4.082500704505177,4.3893684582246095
abalone,200,3,0.4,0.5,0.5,1,1,5,10,1,5,3.2294867174802064,5.227866873278485
abalone,200,4,0.4,0.05,0.5,1,1,5,10,1,5,3.765936915542,4.420479342301436
abalone,200,4,0.4,0.05,1,1,1,5,10,1,5,3.5688390425416405,4.445237233459342
abalone,200,3,0.4,0.05,1,1,1,5,10,1,5,3.9291864339707256,4.404329529975106
abalone,200,3,0.4,0.05,1,1,1,5,5,1,5,3.874509908639751,4.406046925002818
abalone,200,3,0.4,0.05,1,1,1,5,10,1,5,3.9291864339707256,4.404329529975106
